original_product_id,product_id,product_name,item_no,price_per_unit,shippable,family_category_id,description
3504,NULL,Top-Lock Fence Slats Inserts,PVT7G,62.0,1,1,NULL
3505,NULL,Top-Lock Fence Slats Inserts,PVT7LB,62.0,1,1,NULL
3506,NULL,Top-Lock Fence Slats Inserts,PVT8TN,62.0,1,1,NULL
3507,NULL,Top-Lock Fence Slats Inserts,PVT8WH,62.0,1,1,NULL
3508,NULL,Top-Lock Fence Slats Inserts,PVT8RW,62.0,1,1,NULL
3509,NULL,Top-Lock Fence Slats Inserts,PVT8G,62.0,1,1,NULL
3510,NULL,Top-Lock Fence Slats Inserts,PVT8LB,62.0,1,1,NULL
16398,NULL,Top-Lock PVT Slats 4ft,AFCFSW4,0.0,0,1,NULL
16399,NULL,Top-Lock PVT Slats 5ft,AFCFSW5,0.0,0,1,NULL
16400,NULL,Top-Lock PVT Slats 6ft,AFCFSW6,0.0,0,1,NULL
16401,NULL,Top-Lock PVT Slats 7ft,AFCFSW7,0.0,0,1,NULL
16402,NULL,Top-Lock PVT Slats 8ft,AFCFSW8,0.0,0,1,NULL
18399,NULL,Fence Slats Sample,AFCFSSMM,NULL,1,1,NULL
18400,NULL,Set of Fence Slats Samples,AFCFSS,11.99,1,1,NULL
36834,NULL,Winged Fence Slats Inserts,PVTW5WH,48.0,1,1,NULL
36833,NULL,Winged Fence Slats Inserts,PVTW4WH,40.0,1,1,NULL
36835,NULL,Winged Fence Slats Inserts,PVTW6WH,57.0,1,1,NULL
36840,NULL,Winged Slats MM 6ft,AFCFS6,0.0,0,1,NULL
36841,NULL,Winged Slats MM 7ft,AFCFS7,0.0,0,1,NULL
36842,NULL,Winged Slats MM 8ft,AFCFS8,0.0,0,1,NULL
36838,NULL,Winged Slats MM 4ft,AFCFS4,0.0,0,1,NULL
36839,NULL,Winged Slats MM 5ft,AFCFS5,0.0,0,1,NULL
36836,NULL,Winged Fence Slats Inserts,PVTW7WH,78.0,1,1,NULL
36837,NULL,Winged Fence Slats Inserts,PVTW8WH,78.0,1,1,NULL
