original_product_id,product_details_id,product_id,size1,size2,size3,style,speciality,material,spacing,color,coating
478,NULL,NULL,8ft H for 2in Mesh,NULL,NULL,Winged,NULL,NULL,NULL,Gray,NULL
479,NULL,NULL,8ft H for 2in Mesh,NULL,NULL,Winged,NULL,NULL,NULL,Black,NULL
480,NULL,NULL,8ft H for 2in Mesh,NULL,NULL,Winged,NULL,NULL,NULL,Light Blue,NULL
481,NULL,NULL,4ft H,NULL,NULL,Perma-Hedge,NULL,NULL,NULL,Green,NULL
482,NULL,NULL,5ft H,NULL,NULL,Perma-Hedge,NULL,NULL,NULL,Green,NULL
483,NULL,NULL,6ft H,NULL,NULL,Perma-Hedge,NULL,NULL,NULL,Green,NULL
484,NULL,NULL,7ft H,NULL,NULL,Perma-Hedge,NULL,NULL,NULL,Green,NULL
485,NULL,NULL,8ft H,NULL,NULL,Perma-Hedge,NULL,NULL,NULL,Green,NULL
486,NULL,NULL,10ft H,NULL,NULL,Perma-Hedge,NULL,NULL,NULL,Green,NULL
3492,NULL,NULL,5ft H for 2in Mesh,NULL,NULL,Top-Lock,NULL,NULL,NULL,Tan,NULL
3493,NULL,NULL,5ft H for 2in Mesh,NULL,NULL,Top-Lock,NULL,NULL,NULL,White,NULL
3494,NULL,NULL,5ft H for 2in Mesh,NULL,NULL,Top-Lock,NULL,NULL,NULL,Redwood,NULL
3495,NULL,NULL,5ft H for 2in Mesh,NULL,NULL,Top-Lock,NULL,NULL,NULL,Gray,NULL
3496,NULL,NULL,6ft H for 2in Mesh,NULL,NULL,Top-Lock,NULL,NULL,NULL,Tan,NULL
3497,NULL,NULL,6ft H for 2in Mesh,NULL,NULL,Top-Lock,NULL,NULL,NULL,White,NULL
3498,NULL,NULL,6ft H for 2in Mesh,NULL,NULL,Top-Lock,NULL,NULL,NULL,Redwood,NULL
3499,NULL,NULL,6ft H for 2in Mesh,NULL,NULL,Top-Lock,NULL,NULL,NULL,Gray,NULL
3500,NULL,NULL,6ft H for 2in Mesh,NULL,NULL,Top-Lock,NULL,NULL,NULL,Light Blue,NULL
3501,NULL,NULL,7ft H for 2in Mesh,NULL,NULL,Top-Lock,NULL,NULL,NULL,Tan,NULL
3502,NULL,NULL,7ft H for 2in Mesh,NULL,NULL,Top-Lock,NULL,NULL,NULL,White,NULL
3503,NULL,NULL,7ft H for 2in Mesh,NULL,NULL,Top-Lock,NULL,NULL,NULL,Redwood,NULL
3504,NULL,NULL,7ft H for 2in Mesh,NULL,NULL,Top-Lock,NULL,NULL,NULL,Gray,NULL
3505,NULL,NULL,7ft H for 2in Mesh,NULL,NULL,Top-Lock,NULL,NULL,NULL,Light Blue,NULL
3506,NULL,NULL,8ft H for 2in Mesh,NULL,NULL,Top-Lock,NULL,NULL,NULL,Tan,NULL
3507,NULL,NULL,8ft H for 2in Mesh,NULL,NULL,Top-Lock,NULL,NULL,NULL,White,NULL
3508,NULL,NULL,8ft H for 2in Mesh,NULL,NULL,Top-Lock,NULL,NULL,NULL,Redwood,NULL
3509,NULL,NULL,8ft H for 2in Mesh,NULL,NULL,Top-Lock,NULL,NULL,NULL,Gray,NULL
3510,NULL,NULL,8ft H for 2in Mesh,NULL,NULL,Top-Lock,NULL,NULL,NULL,Light Blue,NULL
16398,NULL,NULL,NULL,NULL,NULL,Top-Lock,NULL,NULL,NULL,NULL,NULL
16399,NULL,NULL,NULL,NULL,NULL,Top-Lock,NULL,NULL,NULL,NULL,NULL
16400,NULL,NULL,NULL,NULL,NULL,Top-Lock,NULL,NULL,NULL,NULL,NULL
16401,NULL,NULL,NULL,NULL,NULL,Top-Lock,NULL,NULL,NULL,NULL,NULL
16402,NULL,NULL,NULL,NULL,NULL,Top-Lock,NULL,NULL,NULL,NULL,NULL
18399,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18400,NULL,NULL,"2in -  Top Lock, Winged, Hedge",NULL,NULL,NULL,NULL,NULL,NULL,All Colors,NULL
36834,NULL,NULL,5ft H for 2in Mesh,NULL,NULL,Winged,NULL,NULL,NULL,White,NULL
36833,NULL,NULL,4ft H for 2in Mesh,NULL,NULL,Winged,NULL,NULL,NULL,White,NULL
36835,NULL,NULL,6ft H for 2in Mesh,NULL,NULL,Winged,NULL,NULL,NULL,White,NULL
36840,NULL,NULL,NULL,NULL,NULL,Winged,NULL,NULL,NULL,NULL,NULL
36841,NULL,NULL,NULL,NULL,NULL,Winged,NULL,NULL,NULL,NULL,NULL
36842,NULL,NULL,NULL,NULL,NULL,Winged,NULL,NULL,NULL,NULL,NULL
36838,NULL,NULL,NULL,NULL,NULL,Winged,NULL,NULL,NULL,NULL,NULL
36839,NULL,NULL,NULL,NULL,NULL,Winged,NULL,NULL,NULL,NULL,NULL
36836,NULL,NULL,7ft H for 2in Mesh,NULL,NULL,Winged,NULL,NULL,NULL,White,NULL
36837,NULL,NULL,8ft H for 2in Mesh,NULL,NULL,Winged,NULL,NULL,NULL,White,NULL
