,product_id,product_name,seo_name,desc_short,desc_long,color,item_no,master_model,parent,cat_id_fk,list,cost,price,ws_price,ex_price,weight_lbs,shipable,size,size_ln,size_wt,size_ht,inv_stocked,inv_eastorange,inv_orange,inv_processing,inv_ordered,inv_ordered_expect,img_small,img_large,supplier,ext_domain,featured,enabled,creation,modified,inv_mod,mod_by,product_assoc,alt_length,alt_width,alt_height,ship_length,ship_width,ship_height,nominal_length,nominal_width,nominal_height,product_relatives,meta_title,meta_keywords,add_keywords,meta_description,display_size_2,free_shipping,special_shipping,amount_per_box,class
455,473,Winged Fence Slats Inserts,winged-fence-slats-inserts-7ft-h-for-2in-mesh-slat-width-1-7/16in-light-blue,,,Light Blue,PVTW7LB,0.0,AFCFSW7,,64.49,51.75,78.0,0.0,0.0,18.0,1,7ft H for 2in Mesh,,2,84,0.0,0,0,,0.0,,,,,,0.0,1.0,2010-03-29 08:13:26,2010-03-29 08:13:26,0000-00-00,,,,,,12,12,86,,,,,,,,,Slat width 1 7/16in,0.0,1.0,4.0,AFCSLT
456,474,Winged Fence Slats Inserts,winged-fence-slats-inserts-8ft-h-for-2in-mesh-slat-width-1-7/16in-green,,,Green,PVTW8GR,0.0,AFCFSW8,,75.55,51.5,78.0,0.0,0.0,24.0,1,8ft H for 2in Mesh,,2,96,25.0,0,25,,0.0,,,,,,0.0,1.0,2010-03-29 08:14:30,2010-03-29 08:14:30,2012-07-12,,,,,,12,12,98,,,,,,,,,Slat width 1 7/16in,0.0,1.0,4.0,AFCSLT
457,475,Winged Fence Slats Inserts,winged-fence-slats-inserts-8ft-h-for-2in-mesh-slat-width-1-7/16in-brown,,,Brown,PVTW8BR,0.0,AFCFSW8,,75.55,51.5,78.0,0.0,0.0,24.0,1,8ft H for 2in Mesh,,2,96,0.0,0,0,,0.0,,,,,,0.0,1.0,2010-03-29 08:15:47,2010-03-29 08:15:47,0000-00-00,,,,,,12,12,98,,,,,,,,,Slat width 1 7/16in,0.0,1.0,4.0,AFCSLT
458,476,Winged Fence Slats Inserts,winged-fence-slats-inserts-8ft-h-for-2in-mesh-slat-width-1-7/16in-tan,,,Tan,PVTW8TN,0.0,AFCFSW8,,75.55,51.5,78.0,0.0,0.0,24.0,1,8ft H for 2in Mesh,,2,96,-50.0,0,-50,,0.0,,,,,,0.0,0.0,2010-03-29 08:16:24,2010-03-29 08:16:24,0000-00-00,,,,,,12,12,98,,,,,,,,,Slat width 1 7/16in,0.0,1.0,4.0,AFCSLT
459,477,Winged Fence Slats Inserts,winged-fence-slats-inserts-8ft-h-for-2in-mesh-slat-width-1-7/16in-redwood,,,Redwood,PVTW8RW,0.0,AFCFSW8,,75.55,51.5,78.0,0.0,0.0,24.0,1,8ft H for 2in Mesh,,2,,5.0,0,5,,0.0,,,,,,0.0,1.0,2010-03-29 08:17:25,2010-03-29 08:17:25,2012-06-28,,,,,,12,12,98,,,,,,,,,Slat width 1 7/16in,0.0,1.0,4.0,AFCSLT
460,478,Winged Fence Slats Inserts,winged-fence-slats-inserts-8ft-h-for-2in-mesh-slat-width-1-7/16in-gray,,,Gray,PVTW8G,0.0,AFCFSW8,,75.55,51.5,78.0,0.0,0.0,24.0,1,8ft H for 2in Mesh,,2,96,0.0,0,0,,0.0,,,,,,0.0,1.0,2010-03-29 08:18:19,2010-03-29 08:18:19,0000-00-00,,,,,,12,12,98,,,,,,,,,Slat width 1 7/16in,0.0,1.0,4.0,AFCSLT
461,479,Winged Fence Slats Inserts,winged-fence-slats-inserts-8ft-h-for-2in-mesh-slat-width-1-7/16in-black,,,Black,PVTW8BK,0.0,AFCFSW8,,75.55,51.5,78.0,0.0,0.0,24.0,1,8ft H for 2in Mesh,,2,96,1.0,0,1,,0.0,,,,,,0.0,1.0,2010-03-29 08:18:56,2010-03-29 08:18:56,2012-06-28,,,,,,12,12,98,,,,,,,,,Slat width 1 7/16in,0.0,1.0,4.0,AFCSLT
462,480,Winged Fence Slats Inserts,winged-fence-slats-inserts-8ft-h-for-2in-mesh-slat-width-1-7/16in-light-blue,,,Light Blue,PVTW8LB,0.0,AFCFSW8,,75.55,51.5,78.0,0.0,0.0,24.0,1,8ft H for 2in Mesh,,2,96,0.0,0,0,,0.0,,,,,,0.0,1.0,2010-03-29 08:19:57,2010-03-29 08:19:57,0000-00-00,,,,,,12,12,98,,,,,,,,,Slat width 1 7/16in,0.0,1.0,4.0,AFCSLT
463,481,Hedge Fence Slats Inserts,hedge-fence-slats-inserts-4ft-h-green,,,Green,PVTPH4GR,0.0,AFCFSH,,0.0,43.97,65.75,0.0,0.0,16.5,1,4ft H,,2,,12.0,0,-18,,0.0,,,,,,0.0,1.0,2010-03-29 08:25:02,2010-03-29 08:25:02,2012-06-27,,,,,,10,10,49,,,,,,,,,,0.0,1.0,1.0,AFCSLT
464,482,Hedge Fence Slats Inserts,hedge-fence-slats-inserts-5ft-h-green,,,Green,PVTPH5GR,0.0,AFCFSH,,0.0,53.97,85.0,0.0,0.0,20.0,1,5ft H,,2,,-2.0,0,-6,,0.0,,,,,,0.0,0.0,2010-03-29 08:26:30,2010-03-29 08:26:30,2012-06-27,,,,,,10,10,61,,,,,,,,,,0.0,1.0,1.0,AFCSLT
465,483,Hedge Fence Slats Inserts,hedge-fence-slats-inserts-6ft-h-green,,,Green,PVTPH6GR,0.0,AFCFSH,,0.0,59.36,85.0,0.0,0.0,22.0,1,6ft H,,2,,-88.0,0,-121,,0.0,,,,,,0.0,0.0,2010-03-29 08:27:49,2010-03-29 08:27:49,2012-06-27,,,,,,10,10,73,,,,,,,,,,0.0,1.0,1.0,AFCSLT
466,484,Hedge Fence Slats Inserts,hedge-fence-slats-inserts-7ft-h-green,,,Green,PVTPH7GR,0.0,,,0.0,73.78,115.0,0.0,0.0,28.0,1,7ft H,,2,84.00,8.0,0,8,,0.0,,,,,,0.0,1.0,2010-03-29 08:29:40,2010-03-29 08:29:40,2012-06-27,,,,,,10,10,85,,,,,,,,,,0.0,1.0,1.0,AFCSLT
467,485,Hedge Fence Slats Inserts,hedge-fence-slats-inserts-8ft-h-green,,,Green,PVTPH8GR,0.0,AFCFSH,,0.0,83.49,125.0,0.0,0.0,34.0,1,8ft H,,,,-12.0,0,-12,,0.0,,,,,,0.0,0.0,2010-03-29 08:30:43,2010-03-29 08:30:43,2012-06-27,,,,,,10,10,97,,,,,,,,,,0.0,1.0,1.0,AFCSLT
468,486,Hedge Fence Slats Inserts,hedge-fence-slats-inserts-10ft-h-green,,,Green,PVTPH10GR,0.0,AFCFSH,,0.0,97.76,179.0,0.0,0.0,40.0,1,10ft H,,2,,0.0,0,0,,0.0,,,,,,0.0,1.0,2010-03-29 08:31:53,2010-03-29 08:31:53,0000-00-00,,,,,,10,10,121,,,,,,,,,,0.0,1.0,1.0,AFCSLT
3106,3492,Top-Lock Fence Slats Inserts,top-lock-fence-slats-inserts-5ft-h-for-2in-mesh-slat-width-1-3/32in-tan,,,Tan,PVT5TN,0.0,AFCFS5,,37.75,25.5,38.0,0.0,0.0,12.5,1,5ft H for 2in Mesh,,,,25.0,0,25,,0.0,,,,,,0.0,1.0,2010-05-19 13:15:33,2010-05-19 13:15:33,2012-08-10,,,,,,12,12,61,,,,,,,,,Slat width 1 3/32in,0.0,1.0,5.0,AFCSLT
3107,3493,Top-Lock Fence Slats Inserts,top-lock-fence-slats-inserts-5ft-h-for-2in-mesh-slat-width-1-3/32in-white,,,White,PVT5WH,0.0,AFCFS5,,37.75,25.5,38.0,0.0,0.0,12.5,1,5ft H for 2in Mesh,,,,36.0,50,-14,,0.0,,,,,,0.0,1.0,2010-05-19 13:18:09,2010-05-19 13:18:09,2012-08-10,,,,,,12,12,61,,,,,,,,,Slat width 1 3/32in,0.0,1.0,5.0,AFCSLT
3108,3494,Top-Lock Fence Slats Inserts,top-lock-fence-slats-inserts-5ft-h-for-2in-mesh-slat-width-1-3/32in-redwood,,,Redwood,PVT5RW,0.0,AFCFS5,,37.75,25.5,38.0,0.0,0.0,12.5,1,5ft H for 2in Mesh,,,,22.0,0,22,,0.0,,,,,,0.0,1.0,2010-05-19 13:35:31,2010-05-19 13:35:31,2012-08-10,,,,,,12,12,61,,,,,,,,,Slat width 1 3/32in,0.0,1.0,5.0,AFCSLT
3109,3495,Top-Lock Fence Slats Inserts,top-lock-fence-slats-inserts-5ft-h-for-2in-mesh-slat-width-1-3/32in-gray,,,Gray,PVT5G,0.0,AFCFS5,,37.75,25.5,38.0,0.0,0.0,12.5,1,5ft H for 2in Mesh,,,,31.0,0,31,,0.0,,,,,,0.0,1.0,2010-05-19 13:38:03,2010-05-19 13:38:03,2012-08-10,,,,,,12,12,61,,,,,,,,,Slat width 1 3/32in,0.0,1.0,5.0,AFCSLT
3110,3496,Top-Lock Fence Slats Inserts,top-lock-fence-slats-inserts-6ft-h-for-2in-mesh-slat-width-1-3/32in-tan,,,Tan,PVT6TN,0.0,AFCFS6,,43.15,29.5,44.0,0.0,0.0,15.0,1,6ft H for 2in Mesh,,,,41.0,50,-9,,0.0,,,,,,0.0,1.0,2010-05-19 13:41:16,2010-05-19 13:41:16,2012-08-10,,,,,,12,12,73,,,,,,,,,Slat width 1 3/32in,0.0,1.0,5.0,AFCSLT
3111,3497,Top-Lock Fence Slats Inserts,top-lock-fence-slats-inserts-6ft-h-for-2in-mesh-slat-width-1-3/32in-white,,,White,PVT6WH,0.0,AFCFS6,,43.15,29.5,44.0,0.0,0.0,15.0,1,6ft H for 2in Mesh,,,,6.0,0,6,,0.0,,,,,,0.0,1.0,2010-05-19 13:43:01,2010-05-19 13:43:01,2012-08-10,,,,,,12,12,73,,,,,,,,,Slat width 1 3/32in,0.0,1.0,5.0,AFCSLT
3112,3498,Top-Lock Fence Slats Inserts,top-lock-fence-slats-inserts-6ft-h-for-2in-mesh-slat-width-1-3/32in-redwood,,,Redwood,PVT6RW,0.0,AFCFS6,,43.15,29.5,44.0,0.0,0.0,15.0,1,6ft H for 2in Mesh,,,,-19.0,0,-19,,0.0,,,,,,0.0,0.0,2010-05-19 13:45:14,2010-05-19 13:45:14,2012-08-10,,,,,,12,12,73,,,,,,,,,Slat width 1 3/32in,0.0,1.0,5.0,AFCSLT
3113,3499,Top-Lock Fence Slats Inserts,top-lock-fence-slats-inserts-6ft-h-for-2in-mesh-slat-width-1-3/32in-gray,,,Gray,PVT6G,0.0,AFCFS6,,43.15,29.5,44.0,0.0,0.0,15.0,1,6ft H for 2in Mesh,,,,24.0,0,24,,0.0,,,,,,0.0,1.0,2010-05-19 13:47:05,2010-05-19 13:47:05,2012-08-10,,,,,,12,12,73,,,,,,,,,Slat width 1 3/32in,0.0,1.0,5.0,AFCSLT
3114,3500,Top-Lock Fence Slats Inserts,top-lock-fence-slats-inserts-6ft-h-for-2in-mesh-slat-width-1-3/32in-light-blue,,,Light Blue,PVT6LB,0.0,AFCFS6,,43.15,29.5,44.0,0.0,0.0,15.0,1,6ft H for 2in Mesh,,,,-10.0,0,-10,,0.0,,,,,,0.0,0.0,2010-05-19 13:51:41,2010-05-19 13:51:41,0000-00-00,,,,,,12,12,73,,,,,,,,,Slat width 1 3/32in,0.0,1.0,5.0,AFCSLT
3115,3501,Top-Lock Fence Slats Inserts,top-lock-fence-slats-inserts-7ft-h-for-2in-mesh-slat-width-1-3/32in-tan,,,Tan,PVT7TN,0.0,AFCFS7,,50.65,40.52,62.0,0.0,0.0,18.0,1,7ft H for 2in Mesh,,,,0.0,0,0,,0.0,,,,,,0.0,1.0,2010-05-19 14:09:06,2010-05-19 14:09:06,0000-00-00,,,,,,12,12,85,,,,,,,,,Slat width 1 3/32in,0.0,1.0,5.0,AFCSLT
3116,3502,Top-Lock Fence Slats Inserts,top-lock-fence-slats-inserts-7ft-h-for-2in-mesh-slat-width-1-3/32in-white,,,White,PVT7WH,0.0,AFCFS7,,50.65,40.52,62.0,0.0,0.0,18.0,1,7ft H for 2in Mesh,,,,0.0,0,0,,0.0,,,,,,0.0,1.0,2010-05-19 14:24:37,2010-05-19 14:24:37,0000-00-00,,,,,,12,12,85,,,,,,,,,Slat width 1 3/32in,0.0,1.0,5.0,AFCSLT
3117,3503,Top-Lock Fence Slats Inserts,top-lock-fence-slats-inserts-7ft-h-for-2in-mesh-slat-width-1-3/32in-redwood,,,Redwood,PVT7RW,0.0,AFCFS7,,50.65,40.52,62.0,0.0,0.0,18.0,1,7ft H for 2in Mesh,,,,0.0,0,0,,0.0,,,,,,0.0,1.0,2010-05-20 06:41:52,2010-05-20 06:41:52,0000-00-00,,,,,,12,12,85,,,,,,,,,Slat width 1 3/32in,0.0,1.0,5.0,AFCSLT
3118,3504,Top-Lock Fence Slats Inserts,top-lock-fence-slats-inserts-7ft-h-for-2in-mesh-slat-width-1-3/32in-gray,,,Gray,PVT7G,0.0,AFCFS7,,50.65,40.52,62.0,0.0,0.0,18.0,1,7ft H for 2in Mesh,,,,0.0,0,0,,0.0,,,,,,0.0,1.0,2010-05-20 06:43:17,2010-05-20 06:43:17,0000-00-00,,,,,,12,12,85,,,,,,,,,Slat width 1 3/32in,0.0,1.0,5.0,AFCSLT
3119,3505,Top-Lock Fence Slats Inserts,top-lock-fence-slats-inserts-7ft-h-for-2in-mesh-slat-width-1-3/32in-light-blue,,,Light Blue,PVT7LB,0.0,AFCFS7,,50.65,40.52,62.0,0.0,0.0,18.0,1,7ft H for 2in Mesh,,,,0.0,0,0,,0.0,,,,,,0.0,1.0,2010-05-20 06:44:48,2010-05-20 06:44:48,0000-00-00,,,,,,12,12,85,,,,,,,,,Slat width 1 3/32in,0.0,1.0,5.0,AFCSLT
3120,3506,Top-Lock Fence Slats Inserts,top-lock-fence-slats-inserts-8ft-h-for-2in-mesh-slat-width-1-3/32in-tan,,,Tan,PVT8TN,0.0,AFCFS8,,58.59,39.5,62.0,0.0,0.0,22.0,1,8ft H for 2in Mesh,,,,0.0,0,0,,0.0,,,,,,0.0,1.0,2010-05-20 06:46:16,2010-05-20 06:46:16,0000-00-00,,,,,,12,12,97,,,,,,,,,Slat width 1 3/32in,0.0,1.0,5.0,AFCSLT
3121,3507,Top-Lock Fence Slats Inserts,top-lock-fence-slats-inserts-8ft-h-for-2in-mesh-slat-width-1-3/32in-white,,,White,PVT8WH,0.0,AFCFS8,,58.59,39.5,62.0,0.0,0.0,22.0,1,8ft H for 2in Mesh,,,,27.0,0,2,,0.0,,,,,,0.0,1.0,2010-05-20 06:47:43,2010-05-20 06:47:43,2012-07-31,,,,,,12,12,97,,,,,,,,,Slat width 1 3/32in,0.0,1.0,5.0,AFCSLT
3122,3508,Top-Lock Fence Slats Inserts,top-lock-fence-slats-inserts-8ft-h-for-2in-mesh-slat-width-1-3/32in-redwood,,,Redwood,PVT8RW,0.0,AFCFS8,,58.59,39.5,62.0,0.0,0.0,22.0,1,8ft H for 2in Mesh,,,,4.0,0,4,,0.0,,,,,,0.0,1.0,2010-05-20 06:48:58,2010-05-20 06:48:58,2012-07-12,,,,,,12,12,97,,,,,,,,,Slat width 1 3/32in,0.0,1.0,5.0,AFCSLT
3123,3509,Top-Lock Fence Slats Inserts,top-lock-fence-slats-inserts-8ft-h-for-2in-mesh-slat-width-1-3/32in-gray,,,Gray,PVT8G,0.0,AFCFS8,,58.59,39.5,62.0,0.0,0.0,22.0,1,8ft H for 2in Mesh,,,,-18.0,0,-18,,0.0,,,,,,0.0,0.0,2010-05-20 06:50:08,2010-05-20 06:50:08,0000-00-00,,,,,,12,12,97,,,,,,,,,Slat width 1 3/32in,0.0,1.0,5.0,AFCSLT
3124,3510,Top-Lock Fence Slats Inserts,top-lock-fence-slats-inserts-8ft-h-for-2in-mesh-slat-width-1-3/32in-light-blue,,,Light Blue,PVT8LB,0.0,AFCFS8,,58.59,39.5,62.0,0.0,0.0,22.0,1,8ft H for 2in Mesh,,,,0.0,0,0,,0.0,,,,,,0.0,1.0,2010-05-20 06:51:14,2010-05-20 06:51:14,0000-00-00,,,,,,12,12,97,,,,,,,,,Slat width 1 3/32in,0.0,1.0,5.0,AFCSLT
14895,16398,Top-Lock PVT Slats 4ft,top-lock-pvt-slats-4ft,,,,AFCFSW4,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,0,0,,0.0,,,,,,0.0,1.0,,,0000-00-00,,,,,,,,,,,,,,,,,,0.0,0.0,,AFCSLT
14896,16399,Top-Lock PVT Slats 5ft,top-lock-pvt-slats-5ft,,,,AFCFSW5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,0,0,,0.0,,,,,,0.0,1.0,,,0000-00-00,,,,,,,,,,,,,,,,,,0.0,0.0,,AFCSLT
14897,16400,Top-Lock PVT Slats 6ft,top-lock-pvt-slats-6ft,,,,AFCFSW6,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,0,0,,0.0,,,,,,0.0,1.0,,,0000-00-00,,,,,,,,,,,,,,,,,,0.0,0.0,,AFCSLT
14898,16401,Top-Lock PVT Slats 7ft,top-lock-pvt-slats-7ft,,,,AFCFSW7,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,0,0,,0.0,,,,,,0.0,1.0,,,0000-00-00,,,,,,,,,,,,,,,,,,0.0,0.0,,AFCSLT
14899,16402,Top-Lock PVT Slats 8ft,top-lock-pvt-slats-8ft,,,,AFCFSW8,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,0,0,,0.0,,,,,,0.0,1.0,,,0000-00-00,,,,,,,,,,,,,,,,,,0.0,0.0,,AFCSLT
16873,18399,Fence Slats Sample,fence-slats-sample,,,,AFCFSSMM,1.0,,,,,,,,,1,,,,,,0,0,,,,,,,,,1.0,2010-12-09 08:54:19,2010-12-09 08:54:19,0000-00-00,,,,,,,,,,,,,,,,,,,,,
16874,18400,Set of Fence Slats Samples,set-of-fence-slats-samples-2in-top-lock-winged-hedge-all-colors,,You will be sent 1 of each of the most common color in the Top-Lock and Winged Slats as well as a sample of the Permanent Hedge Slat. $11.99 for shipping.,All Colors,AFCFSS,0.0,,,,,11.99,,,1.0,1,"2in -  Top Lock, Winged, Hedge",,,,,0,0,,,,,,,,,1.0,2010-12-09 08:55:15,2010-12-09 08:55:15,0000-00-00,,,,,,,,,,,,,,,,,,1.0,,,
25306,36834,Winged Fence Slats Inserts,winged-fence-slats-inserts-5ft-h-for-2in-mesh-slat-width-1-7/16in-white,,,White,PVTW5WH,0.0,AFCFSW5,,47.79,32.5,48.0,0.0,0.0,15.0,1,5ft H for 2in Mesh,,,,4.0,0,4,,0.0,,,,,,0.0,1.0,,,2012-08-10,,,,,,12,12,62,,,,,,,,,Slat width 1 7/16in,0.0,1.0,4.0,AFCSLT
29593,36833,Winged Fence Slats Inserts,winged-fence-slats-inserts-4ft-h-for-2in-mesh-slat-width-1-7/16in-white,,,White,PVTW4WH,0.0,AFCFSW4,,39.42,26.5,40.0,0.0,0.0,12.0,1,4ft H for 2in Mesh,,,,66.0,50,16,,0.0,,,,,,0.0,1.0,,,2012-08-10,,,,,,12,12,50,,,,,,,,,Slat width 1 7/16in,0.0,1.0,4.0,AFCSLT
29595,36835,Winged Fence Slats Inserts,winged-fence-slats-inserts-6ft-h-for-2in-mesh-slat-width-1-7/16in-white,,,White,PVTW6WH,0.0,AFCFSW6,,53.95,38.0,57.0,0.0,0.0,17.0,1,6ft H for 2in Mesh,,,,-39.0,0,-39,,0.0,,,,,,0.0,0.0,,,2012-08-10,,,,,,12,12,74,,,,,,,,,Slat width 1 7/16in,0.0,1.0,4.0,AFCSLT
29600,36840,Winged Slats MM 6ft,winged-slats-mm-6ft,,,,AFCFS6,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,0,0,,0.0,,,,,,0.0,1.0,,,0000-00-00,,,,,,,,,,,,,,,,,,0.0,0.0,,AFCSLT
29601,36841,Winged Slats MM 7ft,winged-slats-mm-7ft,,,,AFCFS7,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,0,0,,0.0,,,,,,0.0,1.0,,,0000-00-00,,,,,,,,,,,,,,,,,,0.0,0.0,,AFCSLT
29602,36842,Winged Slats MM 8ft,winged-slats-mm-8ft,,,,AFCFS8,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,0,0,,0.0,,,,,,0.0,1.0,,,0000-00-00,,,,,,,,,,,,,,,,,,0.0,0.0,,AFCSLT
29604,36838,Winged Slats MM 4ft,winged-slats-mm-4ft,,,,AFCFS4,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,0,0,,0.0,,,,,,0.0,1.0,,,0000-00-00,,,,,,,,,,,,,,,,,,0.0,0.0,,AFCSLT
29605,36839,Winged Slats MM 5ft,winged-slats-mm-5ft,,,,AFCFS5,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,0,0,,0.0,,,,,,0.0,1.0,,,0000-00-00,,,,,,,,,,,,,,,,,,0.0,0.0,,AFCSLT
31153,36836,Winged Fence Slats Inserts,winged-fence-slats-inserts-7ft-h-for-2in-mesh-slat-width-1-7/16in-white,,,White,PVTW7WH,0.0,AFCFSW7,,75.55,51.5,78.0,0.0,0.0,18.0,1,7ft H for 2in Mesh,,,,0.0,0,0,,0.0,,,,,,0.0,1.0,,,0000-00-00,,,,,,12,12,86,,,,,,,,,Slat width 1 7/16in,0.0,1.0,4.0,AFCSLT
31386,36837,Winged Fence Slats Inserts,winged-fence-slats-inserts-8ft-h-for-2in-mesh-slat-width-1-7/16in-white,,,White,PVTW8WH,0.0,AFCFSW8,,51.5,51.5,78.0,0.0,0.0,24.0,1,8ft H for 2in Mesh,,,,2.0,0,2,,0.0,,,,,,0.0,1.0,,,2012-06-28,,,,,,12,12,98,,,,,,,,,Slat width 1 7/16in,0.0,1.0,4.0,AFCSLT
