,product_id,product_name,seo_name,desc_short,desc_long,color,item_no,master_model,parent,cat_id_fk,list,cost,price,ws_price,ex_price,weight_lbs,shipable,size,size_ln,size_wt,size_ht,inv_stocked,inv_eastorange,inv_orange,inv_processing,inv_ordered,inv_ordered_expect,img_small,img_large,supplier,ext_domain,featured,enabled,creation,modified,inv_mod,mod_by,product_assoc,alt_length,alt_width,alt_height,ship_length,ship_width,ship_height,nominal_length,nominal_width,nominal_height,product_relatives,meta_title,meta_keywords,add_keywords,meta_description,display_size_2,free_shipping,special_shipping,amount_per_box,class
388,405,Top-Lock Fence Slats Inserts,top-lock-fence-slats-inserts-8ft-h-for-2in-mesh-slat-width-1-3/32in-green,,,Green,PVT8GR,0.0,AFCFS8,,58.59,39.5,62.0,0.0,0.0,22.0,1,8ft H for 2in Mesh ,6,6,96,43.0,52,-9,,0.0,,,,,,0.0,0.0,2010-03-26 07:40:28,2010-03-26 07:40:28,2012-07-12,,,,,,12,12,97,,,,,,,,,Slat width 1 3/32in,0.0,1.0,5.0,AFCSLT
389,406,Top-Lock Fence Slats Inserts,top-lock-fence-slats-inserts-5ft-h-for-2in-mesh-slat-width-1-3/32in-brown,,,Brown,PVT5BR,0.0,AFCFS5,,37.75,25.5,38.0,0.0,0.0,10.0,1,5ft H for 2in Mesh,,,,75.0,50,25,,0.0,,,,,,0.0,1.0,2010-03-26 11:45:38,2010-03-26 11:45:38,2012-08-10,,,,,,12,12,61,,,,,,,,,Slat width 1 3/32in,0.0,1.0,5.0,AFCSLT
390,407,Top-Lock Fence Slats Inserts,top-lock-fence-slats-inserts-6ft-h-for-2in-mesh-slat-width-1-3/32in-brown,,,Brown,PVT6BR,0.0,AFCFS6,,4.15,29.5,44.0,0.0,0.0,15.0,1,6ft H for 2in Mesh,,,,37.0,50,-13,,0.0,,,,,,0.0,1.0,2010-03-26 12:43:31,2010-03-26 12:43:31,2012-08-10,,,,,,12,12,73,6,6,48,,,,,,Slat width 1 3/32in,0.0,1.0,5.0,AFCSLT
392,409,Top-Lock Fence Slats Inserts,top-lock-fence-slats-inserts-7ft-h-for-2in-mesh-slat-width-1-3/32in-brown,,,Brown,PVT7BR,0.0,AFCFS7,,50.65,40.52,62.0,0.0,0.0,18.0,1,7ft H for 2in Mesh,,,,0.0,0,0,,0.0,,,,,,0.0,1.0,2010-03-26 13:17:29,2010-03-26 13:17:29,0000-00-00,,,,,,12,12,85,6,6,84,,,,,,Slat width 1 3/32in,0.0,1.0,5.0,AFCSLT
394,411,Top-Lock Fence Slats Inserts,top-lock-fence-slats-inserts-8ft-h-for-2in-mesh-slat-width-1-3/32in-brown,,,Brown,PVT8BR,0.0,AFCFS8,,58.59,46.87,62.0,0.0,0.0,22.0,1,8ft H for 2in Mesh,,,,0.0,0,0,,0.0,,,,,,0.0,1.0,2010-03-26 13:25:19,2010-03-26 13:25:19,0000-00-00,,,,,,12,12,97,6,6,96,,,,,,Slat width 1 3/32in,0.0,1.0,5.0,AFCSLT
399,416,Top-Lock Fence Slats Inserts,top-lock-fence-slats-inserts-5ft-h-for-2in-mesh-slat-width-1-3/32in-black,,,Black,PVT5BK,0.0,AFCFS5,,37.75,25.5,38.0,0.0,0.0,12.0,1,5ft H for 2in Mesh,,,,56.0,50,6,,0.0,,,,,,0.0,1.0,2010-03-26 14:34:55,2010-03-26 14:34:55,2012-07-12,,,,,,12,12,61,6,6,60,,,,,,Slat width 1 3/32in,0.0,1.0,5.0,AFCSLT
400,417,Top-Lock Fence Slats Inserts,top-lock-fence-slats-inserts-6ft-h-for-2in-mesh-slat-width-1-3/32in-black,,,Black,PVT6BK,0.0,AFCFS6,,4.15,29.5,44.0,0.0,0.0,15.0,1,6ft H for 2in Mesh,,,,-43.0,15,-58,,0.0,,,,,,0.0,0.0,2010-03-26 14:42:09,2010-03-26 14:42:09,2012-08-10,,,,,,12,12,73,6,6,6,,,,,,Slat width 1 3/32in,0.0,1.0,5.0,AFCSLT
401,418,Top-Lock Fence Slats Inserts,top-lock-fence-slats-inserts-7ft-h-for-2in-mesh-slat-width-1-3/32in-black,,,Black,PVT7BK,0.0,AFCFS7,,50.65,40.52,62.0,0.0,0.0,18.0,1,7ft H for 2in Mesh,,,,0.0,0,0,,0.0,,,,,,0.0,1.0,2010-03-26 14:48:42,2010-03-26 14:48:42,0000-00-00,,,,,,12,12,85,6,6,84,,,,,,Slat width 1 3/32in,0.0,1.0,5.0,AFCSLT
402,419,Top-Lock Fence Slats Inserts,top-lock-fence-slats-inserts-8ft-h-for-2in-mesh-slat-width-1-3/32in-black,,,Black,PVT8BK,0.0,AFCFS8,,58.59,39.5,62.0,0.0,0.0,22.0,1,8ft H for 2in Mesh,,,,-2.0,0,-2,,0.0,,,,,,0.0,0.0,2010-03-26 14:55:04,2010-03-26 14:55:04,0000-00-00,,,,,,12,12,97,6,6,96,,,,,,Slat width 1 3/32in,0.0,1.0,5.0,AFCSLT
403,420,Top-Lock Fence Slats Inserts,top-lock-fence-slats-inserts-5ft-h-for-2in-mesh-slat-width-1-3/32in-light-blue,,,Light Blue,PVT5LB,0.0,AFCFS5,,37.75,25.5,38.0,0.0,0.0,12.5,1,5ft H for 2in Mesh,,,,0.0,0,0,,0.0,,,,,,0.0,1.0,2010-03-26 15:01:12,2010-03-26 15:01:12,0000-00-00,,,,,,12,12,61,6,6,60,,,,,,Slat width 1 3/32in,0.0,1.0,5.0,AFCSLT
