original_product_id,product_details_id,product_id,size1,size2,size3,style,speciality,material,spacing,color,coating,family_category_id
413,NULL,NULL,60 in. x 100 ft.,1 in. x 2 in.,14 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
414,NULL,NULL,48 in. x 100 ft.,1 in. x 2 in.,14 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Green,High Quality Vinyl PVC,2
415,NULL,NULL,60 in. x 100 ft.,1 in. x 2 in.,14 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Green,High Quality Vinyl PVC,2
15251,NULL,NULL,36 in. x 100 ft.,1 in. x 1 in.,16 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
15252,NULL,NULL,36 in. x 50 ft.,1 in. x 1 in.,16 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
15253,NULL,NULL,60 in. x 100 ft.,1 in. x 1 in.,16 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
15254,NULL,NULL,60 in. x 50 ft.,1 in. x 1 in.,16 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
15255,NULL,NULL,72 in. x 100 ft.,1 in. x 1 in.,16 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
15256,NULL,NULL,72 in. x 50 ft.,1 in. x 1 in.,16 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
15257,NULL,NULL,36 in. x 100 ft.,1 in. x 1 in.,16 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Green,High Quality Vinyl PVC,2
15258,NULL,NULL,36 in. x 50 ft.,1 in. x 1 in.,16 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Green,High Quality Vinyl PVC,2
15259,NULL,NULL,60 in. x 100 ft.,1 in. x 1 in.,16 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Green,High Quality Vinyl PVC,2
15260,NULL,NULL,60 in. x 50 ft.,1 in. x 1 in.,16 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Green,High Quality Vinyl PVC,2
15261,NULL,NULL,72 in. x 100 ft.,1 in. x 1 in.,16 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Green,High Quality Vinyl PVC,2
15262,NULL,NULL,72 in. x 50 ft.,1 in. x 1 in.,16 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Green,High Quality Vinyl PVC,2
16407,NULL,NULL,60 in. x 100 ft.,2 in. x 4 in.,14 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Green,High Quality Vinyl PVC,2
16408,NULL,NULL,72 in. x 100 ft.,2 in. x 4 in.,14 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Green,High Quality Vinyl PVC,2
16409,NULL,NULL,36 in. x 50 ft.,2 in. x 4 in.,14 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
18522,NULL,NULL,36 in. x 100 ft.,3 in. x 3 in.,,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
35799,NULL,NULL,24 in. x 50 ft.,2 in. x 4 in.,14 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
35801,NULL,NULL,48 in. x 100 ft.,1 1/2 in. x 4 in.,12.5 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
