original_product_id,shipping_details_id,product_id,weight,shipping_length,shipping_width,shipping_height,shipping_class,free_shipping,special_shipping,amount_per_box,description
18522,NULL,NULL,110.0,NULL,NULL,NULL,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
35806,NULL,NULL,60.0,15,15,25,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
35805,NULL,NULL,30.0,9,9,48,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
35803,NULL,NULL,190.0,15,15,73,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
35802,NULL,NULL,190.0,15,15,61,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
35801,NULL,NULL,127.0,13,13,49,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
35799,NULL,NULL,17.0,9,9,49,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
35818,NULL,NULL,151.0,15,15,37,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
35820,NULL,NULL,103.0,15,15,29,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
35839,NULL,NULL,174.0,15,15,49,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
36934,NULL,NULL,89.0,12,12,48,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
42660,NULL,NULL,200.0,NULL,NULL,NULL,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
43725,NULL,NULL,104.0,16,16,49,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
43731,NULL,NULL,162.0,15,15,73,WWF,0,0,1,Academy Fence Company PVC Coated Welded Wire Fence
