original_product_id,family_category_id,product_details_id,product_id,size1,size2,size3,style,speciality,material,spacing,color,coating
3396,10,NULL,NULL,36 in. x 100 ft.,NULL,"36 in. fabric, w/ 48 in. wood stakes",NULL,NULL,Vinyl Fabric,NULL,Black,NULL
3397,10,NULL,NULL,24 in. x 100 ft.,NULL,"24 in. fabric, w/ 36 in. wood stakes",NULL,NULL,Vinyl Fabric,NULL,Black,NULL
18422,10,NULL,NULL,36 in. x 100 ft.,4 in. x 4 in.,NULL,NULL,NULL,Vinyl Fabric,NULL,Black,NULL
18423,10,NULL,NULL,36 in. x 100 ft.,4 in. x 4 in.,NULL,NULL,NULL,Vinyl Fabric,NULL,Black,NULL
18424,10,NULL,NULL,48 in. x 100 ft.,4 in. x 4 in.,NULL,NULL,NULL,Vinyl Fabric,NULL,Black,NULL
18425,10,NULL,NULL,48 in. x 100 ft.,4 in. x 4 in.,NULL,NULL,NULL,Vinyl Fabric,NULL,Orange,NULL
43795,10,NULL,NULL,36 in. x 100 ft.,NULL,"36 in. fabric, w/ 48 in. wood stakes",NULL,D.O.T.,Vinyl Fabric,NULL,Black,NULL
