original_product_id,family_category_id,shipping_details_id,product_id,weight,shipping_length,shipping_width,shipping_height,shipping_class,free_shipping,special_shipping,amount_per_box,description
3396,10,NULL,NULL,23,10,10,48,WWF,0,0,NULL,Academy Fence Company Erosion Silt Fence
3397,10,NULL,NULL,18,10,10,24,WWF,0,0,NULL,Academy Fence Company Erosion Silt Fence
18422,10,NULL,NULL,35,10,10,36,WWF,0,0,NULL,Academy Fence Company Erosion Silt Fence
18423,10,NULL,NULL,35,10,10,37,WWF,0,0,NULL,Academy Fence Company Erosion Silt Fence
18424,10,NULL,NULL,45,10,10,49,WWF,0,0,NULL,Academy Fence Company Erosion Silt Fence
18425,10,NULL,NULL,45,10,10,36,WWF,0,0,NULL,Academy Fence Company Erosion Silt Fence
43795,10,NULL,NULL,29,10,10,48,WWF,0,0,NULL,Academy Fence Company Erosion Silt Fence
