product_details_id,original_product_id,family_category_id,product_id,size1,size2,size3,style,specialty,material,spacing,color,coating
NULL,2307,17,NULL,3 ft. H x 8 ft. W,NULL,NULL,Concave,Slant Ear,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2308,17,NULL,3 1/2 ft. H x 8 ft. W,NULL,NULL,Concave,Slant Ear,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2309,17,NULL,4 ft. H X 8 ft.W,NULL,NULL,Concave,Slant Ear,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2310,17,NULL,4 1/2 ft. H x 8 ft. W,NULL,NULL,Concave,Slant Ear,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2311,17,NULL,5 ft. H x 8 ft. W,NULL,NULL,Concave,Slant Ear,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2312,17,NULL,6 ft. H x 8 ft. W,NULL,NULL,Concave,Slant Ear,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2313,17,NULL,7 ft. H x 8 ft. W,NULL,NULL,Concave,Slant Ear,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2314,17,NULL,8 ft. H x 8 ft. W,NULL,NULL,Concave,Slant Ear,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2315,17,NULL,3 ft. H x 8 ft. W,NULL,NULL,Convex,Slant Ear,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2316,17,NULL,3 1/2 ft. H x 8 ft. W,NULL,NULL,Convex,Slant Ear,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2317,17,NULL,4 ft. H x 8 ft. W,NULL,NULL,Convex,Slant Ear,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2318,17,NULL,4 1/2 ft. H x 8 ft. W,NULL,NULL,Convex,Slant Ear,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2319,17,NULL,5 ft. H x 8 ft. W,NULL,NULL,Convex,Slant Ear,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2320,17,NULL,6 ft. H x 8 ft. W,NULL,NULL,Convex,Slant Ear,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2321,17,NULL,7 ft. H x 8 ft. W,NULL,NULL,Convex,Slant Ear,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2322,17,NULL,8 ft. H x 8 ft. W,NULL,NULL,Convex,Slant Ear,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2323,17,NULL,3 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Dog Ear,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2324,17,NULL,3 1/2 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Dog Ear,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2325,17,NULL,4 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Dog Ear,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2326,17,NULL,4 1/2 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Dog Ear,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2327,17,NULL,5 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Dog Ear,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2328,17,NULL,6 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Dog Ear,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2329,17,NULL,7 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Dog Ear,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2330,17,NULL,8 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Dog Ear,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2331,17,NULL,3 ft. H x 8 ft. W,NULL,NULL,Concave,Dog Ear,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2332,17,NULL,3 1/2 ft. H x 8 ft. W,NULL,NULL,Concave,Dog Ear,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2333,17,NULL,4 ft. H x 8 ft. W,NULL,NULL,Concave,Dog Ear,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2334,17,NULL,96.00 X 54,NULL,NULL,Concave,Dog Ear,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2335,17,NULL,5 ft. H x 8 ft. W,NULL,NULL,Concave,Dog Ear,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2336,17,NULL,6 ft. H x 8 ft. W,NULL,NULL,Concave,Dog Ear,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2337,17,NULL,7 ft. H x 8 ft. W,NULL,NULL,Concave,Dog Ear,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2338,17,NULL,8 ft. H x 8 ft. W,NULL,NULL,Concave,Dog Ear,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2339,17,NULL,3 ft. H x 8 ft. W,NULL,NULL,Convex,Dog Ear,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2340,17,NULL,3 1/2 ft. H x 8 ft. W,NULL,NULL,Convex,Dog Ear,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2341,17,NULL,4 ft. H x 8 ft. W,NULL,NULL,Convex,Dog Ear,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2342,17,NULL,4 1/2 ft. H x 8 ft. W,NULL,NULL,Convex,Dog Ear,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2343,17,NULL,5 ft. H x 8 ft. W,NULL,NULL,Convex,Dog Ear,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2344,17,NULL,6 ft. H x 8 ft. W,NULL,NULL,Convex,Dog Ear,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2345,17,NULL,7 ft. H x 8 ft. W,NULL,NULL,Convex,Dog Ear,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2346,17,NULL,8 ft. H x 8 ft. W,NULL,NULL,Convex,Dog Ear,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2347,17,NULL,3 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Flat Top,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2348,17,NULL,3 1/2 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Flat Top,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2349,17,NULL,4 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Flat Top,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2350,17,NULL,4 1/2 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Flat Top,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2351,17,NULL,5 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Flat Top,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2352,17,NULL,6 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Flat Top,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2353,17,NULL,7 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Flat Top,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2354,17,NULL,8 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Flat Top,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2355,17,NULL,96 X 36,NULL,NULL,Concave,Flat Top,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2356,17,NULL,96 X 48,NULL,NULL,Concave,Flat Top,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2357,17,NULL,96 X 48,NULL,NULL,Concave,Flat Top,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2358,17,NULL,96 X 54,NULL,NULL,Concave,Flat Top,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2359,17,NULL,96 X 60,NULL,NULL,Concave,Flat Top,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2360,17,NULL,96 X 72,NULL,NULL,Concave,Flat Top,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2361,17,NULL,96 X 84,NULL,NULL,Concave,Flat Top,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2362,17,NULL,96 X 96,NULL,NULL,Concave,Flat Top,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2363,17,NULL,3 ft. H x 8 ft. W,NULL,NULL,Convex,Flat Top,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2364,17,NULL,3 1/2 ft. H x 8 ft. W,NULL,NULL,Convex,Flat Top,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2365,17,NULL,4 ft. H x 8 ft. W,NULL,NULL,Convex,Flat Top,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2366,17,NULL,96 X 54,NULL,NULL,Convex,Flat Top,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2367,17,NULL,5 ft. H x 8 ft. W,NULL,NULL,Convex,Flat Top,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2368,17,NULL,6 ft. H x 8 ft. W,NULL,NULL,Convex,Flat Top,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2369,17,NULL,7 ft. H x 8 ft. W,NULL,NULL,Convex,Flat Top,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2370,17,NULL,8 ft. H x 8 ft. W,NULL,NULL,Convex,Flat Top,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2371,17,NULL,3 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Gothic Point,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2372,17,NULL,3 1/2 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Gothic Point,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2373,17,NULL,4 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Gothic Point,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2374,17,NULL,4 1/2 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Gothic Point,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2375,17,NULL,5 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Gothic Point,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2376,17,NULL,6 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Gothic Point,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2377,17,NULL,7 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Gothic Point,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2378,17,NULL,8 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Gothic Point,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
