product_media_id,original_product_id,family_category_id,product_id,general_image,small_image,large_image
NULL,550,9,NULL,NULL,NULL,NULL
NULL,551,9,NULL,NULL,NULL,https://www.academyfence.com/images/xy/924graduated_mesh-galvanized-deer_fence-welded_wire.png
NULL,42756,9,NULL,NULL,NULL,https://www.academyfence.com/images/xy/999graduated_mesh96x330-black-deer_fence-welded_wire.jpg
NULL,43452,9,NULL,NULL,NULL,NULL
NULL,43451,9,NULL,NULL,NULL,NULL
NULL,43450,9,NULL,NULL,NULL,NULL
NULL,43741,9,NULL,NULL,NULL,https://www.academyfence.com/images/xy/90graduated_mesh-galvanized-deer_fence-welded_wire.png
NULL,43449,9,NULL,NULL,NULL,NULL
